	Marker - Bat Handle			Marker - Bat Hands			Marker - Bat COM			Marker - Bat Top Cap			Marker - Bat Bottom Cap			Virtual Marker - End of Bat			Virtual Marker - Center of Bat		
	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
Index	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series	Series
49	-102.874077	381.794098	1208.808105	-201.625229	559.187927	1527.593872	-247.844788	650.177246	1693.672974	-312.831512	759.609497	1905.065918	-334.232208	688.835571	1931.701538	-323.53186	724.222534	1918.383789	-213.202972	553.008301	1563.595947
50	-103.626129	381.664581	1208.353394	-202.290436	558.770874	1527.315918	-248.430511	649.573059	1693.499878	-313.330536	758.825439	1905.028198	-334.883881	688.04248	1931.567749	-324.107208	723.43396	1918.297974	-213.866669	552.549255	1563.325684
51	-104.395248	381.53537	1207.896484	-202.959427	558.35968	1527.035645	-249.024017	648.980713	1693.325928	-313.829437	758.050354	1904.98584	-335.542633	687.265869	1931.432129	-324.686035	722.658142	1918.208984	-214.540634	552.096741	1563.052734
52	-105.180573	381.407013	1207.435913	-203.633087	557.953003	1526.75354	-249.625671	648.401672	1693.151733	-314.329559	757.284607	1904.939697	-336.20813	686.507019	1931.295898	-325.268829	721.895813	1918.117798	-215.224701	551.651428	1562.776855
53	-105.981949	381.279816	1206.970337	-204.312637	557.549683	1526.470947	-250.235199	647.836487	1692.977539	-314.832123	756.528687	1904.890625	-336.87851	685.765076	1931.159912	-325.855316	721.146851	1918.025269	-215.918625	551.213318	1562.497803
54	-106.800743	381.154022	1206.498779	-204.999649	557.149231	1526.189819	-250.851486	647.284729	1692.803589	-315.338196	755.783142	1904.8396	-337.550934	685.037781	1931.024414	-326.44458	720.410461	1917.932007	-216.622665	550.782227	1562.215454
55	-107.638763	381.029877	1206.020874	-205.695831	556.751526	1525.912964	-251.4729	646.745544	1692.629761	-315.84903	755.048828	1904.787476	-338.22348	684.322754	1930.890259	-327.036255	719.685791	1917.838867	-217.337509	550.357849	1561.92981
56	-108.496689	380.90741	1205.536987	-206.402939	556.356628	1525.642456	-252.098007	646.217957	1692.455811	-316.365662	754.326599	1904.734497	-338.896118	683.618286	1930.757202	-327.63089	718.972473	1917.74585	-218.063782	549.939941	1561.641357
57	-109.373383	380.78656	1205.048584	-207.122437	555.964478	1525.379517	-252.725967	645.701416	1692.281616	-316.888611	753.616882	1904.680664	-339.570435	682.923706	1930.625244	-328.229523	718.270264	1917.652954	-218.801453	549.528442	1561.35083
58	-110.266571	380.667084	1204.557373	-207.855103	555.575439	1525.124512	-253.356735	645.195801	1692.1073	-317.417847	752.919739	1904.62561	-340.248535	682.238525	1930.49353	-328.833191	717.579102	1917.55957	-219.549881	549.123108	1561.058472
59	-111.17411	380.548859	1204.065186	-208.6008	555.190613	1524.876587	-253.990921	644.70105	1691.93335	-317.953064	752.234985	1904.56897	-340.932465	681.561768	1930.361572	-329.442749	716.898376	1917.46521	-220.308426	548.723633	1560.765137
60	-112.094757	380.432007	1203.573486	-209.358368	554.811707	1524.633667	-254.629425	644.216736	1691.759766	-318.493866	751.562012	1904.510498	-341.624237	680.891785	1930.228394	-330.059052	716.226929	1917.369385	-221.076904	548.329468	1560.471436
